#Line    Trace        X           Y           Time        Flag            FaultName 
1911   3995     575512.500    4206332.052       3062.600   14                    F01
1911   3964     575512.500    4205944.677       3192.600   14                    F01
1911   3932     575512.500    4205552.890       3327.200   14                    F01
1911   3893     575512.500    4205057.119       3486.400   14                    F01
1911   3858     575512.500    4204623.874       3606.400   14                    F01
1911   3826     575512.500    4204228.006       3721.600   14                    F01
1911   3807     575512.500    4203990.484       3770.600   14                    F01
1921   4413     575637.500    4211561.242       1110.200   15                    F01
1921   4388     575637.500    4211244.546       1203.400   15                    F01
1921   4361     575637.500    4210911.203       1311.200   15                    F01
1921   4340     575637.500    4210648.538       1401.800   15                    F01
1921   4323     575637.500    4210436.163       1458.000   15                    F01
1921   4307     575637.500    4210236.017       1490.000   15                    F01
1921   4291     575637.500    4210036.218       1526.600   15                    F01
1921   4272     575637.500    4209794.616       1588.000   15                    F01
1921   4246     575637.500    4209473.507       1710.400   15                    F01
1921   4219     575637.500    4209140.161       1886.800   15                    F01
1921   4194     575637.500    4208823.810       2041.000   15                    F01
1921   4172     575637.500    4208544.491       2163.600   15                    F01
1921   4148     575637.500    4208244.449       2276.400   15                    F01
1921   4127     575637.500    4207982.123       2403.800   15                    F01
1921   4104     575637.500    4207698.730       2543.400   15                    F01
1921   4082     575637.500    4207423.828       2678.000   15                    F01
1921   4057     575637.500    4207111.212       2822.600   15                    F01
1921   4043     575637.500    4206932.141       2893.600   15                    F01
1921   4032     575637.500    4206803.015       2937.800   15                    F01
1921   4007     575637.500    4206486.322       3052.800   15                    F01
1921   3977     575637.500    4206111.181       3185.200   15                    F01
1921   3944     575637.500    4205698.663       3300.200   15                    F01
1921   3916     575637.500    4205344.592       3395.800   15                    F01
1921   3882     575637.500    4204927.997       3525.600   15                    F01
1921   3849     575637.500    4204511.059       3665.200   15                    F01
1921   3817     575637.500    4204111.114       3780.400   15                    F01
1901   4386     575387.500    4211219.403       1115.200   16                    F01
1901   4362     575387.500    4210919.357       1208.200   16                    F01
1901   4336     575387.500    4210602.664       1308.600   16                    F01
1901   4309     575387.500    4210261.163       1394.400   16                    F01
1901   4273     575387.500    4209806.851       1521.800   16                    F01
1901   4244     575387.500    4209444.623       1651.600   16                    F01
1901   4220     575387.500    4209152.734       1761.800   16                    F01
1901   4193     575387.500    4208811.236       1933.400   16                    F01
1901   4169     575387.500    4208507.113       2097.400   16                    F01
