X,Y
576991.9,4202795.5
576991.8,4202795.5
576991.8,4202796.0
576991.75,4202796.0
576991.7,4202796.5
576991.6,4202796.5
576991.56,4202797.0
576991.5,4202797.0
576991.5,4202797.5
576991.44,4202797.5
576991.4,4202797.5
576991.4,4202798.0
576991.3,4202798.0
576991.25,4202798.5
576991.2,4202798.5
576991.1,4202799.0
576991.06,4202799.0
576991.0,4202799.5
576990.94,4202799.5
576990.94,4202800.0
576990.9,4202800.0
576990.8,4202800.0
576990.75,4202800.5
576990.7,4202800.5
576990.6,4202801.0
576990.56,4202801.0
576990.56,4202801.5
576990.5,4202801.5
576990.44,4202801.5
576990.44,4202802.0
576990.4,4202802.0
576990.3,4202802.0
576990.3,4202802.5
576990.25,4202802.5
576990.2,4202802.5
576990.2,4202803.0
576990.1,4202803.0
576990.06,4202803.0
576990.06,4202803.5
576990.0,4202803.5
576989.94,4202804.0
576989.9,4202804.0
576989.8,4202804.5
576989.75,4202804.5
576989.7,4202805.0
576989.6,4202805.0
576989.56,4202805.5
576989.5,4202805.5
576989.44,4202806.0
576989.4,4202806.0
576989.3,4202806.5
576989.25,4202806.5
576989.25,4202807.0
576989.2,4202807.0
576989.1,4202807.0
576989.1,4202807.5
576989.06,4202807.5
576989.0,4202807.5
576989.0,4202808.0
576988.94,4202808.0
576988.9,4202808.0
576988.9,4202808.5
576988.8,4202808.5
576988.75,4202808.5
576988.75,4202809.0
576988.7,4202809.0
576988.6,4202809.5
576988.56,4202809.5
576988.5,4202810.0
576988.44,4202810.0
576988.4,4202810.5
576988.3,4202810.5
576988.25,4202811.0
576988.2,4202811.0
576988.1,4202811.5
576988.06,4202811.5
576988.0,4202812.0
576987.94,4202812.0
576987.94,4202812.5
576987.9,4202812.5
576987.8,4202812.5
576987.8,4202813.0
576987.75,4202813.0
576987.7,4202813.0
576987.7,4202813.5
576987.6,4202813.5
576987.56,4202813.5
576987.56,4202814.0
576987.5,4202814.0
576987.44,4202814.0
576987.44,4202814.5
576987.4,4202814.5
576987.3,4202815.0
576987.25,4202815.0
576987.2,4202815.5
576987.1,4202815.5
576987.06,4202816.0
576987.0,4202816.0
576986.94,4202816.5
576986.9,4202816.5
576986.8,4202817.0
576986.75,4202817.0
576986.7,4202817.5
576986.6,4202817.5
576986.56,4202818.0
576986.5,4202818.0
576986.44,4202818.5
576986.4,4202818.5
576986.3,4202818.5
576986.3,4202819.0
576986.25,4202819.0
576986.2,4202819.0
576986.1,4202819.5
576986.06,4202819.5
576986.06,4202820.0
576986.0,4202820.0
576985.94,4202820.0
576985.9,4202820.5
576985.8,4202820.5
576985.75,4202821.0
576985.7,4202821.0
576985.6,4202821.5
576985.56,4202821.5
576985.5,4202822.0
576985.44,4202822.0
576985.4,4202822.5
576985.3,4202822.5
576985.25,4202822.5
576985.25,4202823.0
576985.2,4202823.0
576985.1,4202823.0
576985.06,4202823.5
576985.0,4202823.5
576985.0,4202824.0
576984.94,4202824.0
576984.9,4202824.0
576984.8,4202824.5
576984.75,4202824.5
576984.7,4202825.0
576984.6,4202825.0
576984.56,4202825.0
576984.56,4202825.5
576984.5,4202825.5
576984.44,4202826.0
576984.4,4202826.0
576984.3,4202826.0
576984.3,4202826.5
576984.25,4202826.5
576984.2,4202826.5
576984.2,4202827.0
576984.1,4202827.0
576984.06,4202827.0
576983.75,4202828.5
576983.7,4202828.5
576983.6,4202829.0
576983.56,4202829.0
576983.5,4202829.0
576983.5,4202829.5
576983.44,4202829.5
576983.4,4202830.0
576983.3,4202830.0
576983.25,4202830.0
576983.25,4202830.5
576983.2,4202830.5
576983.1,4202830.5
576983.1,4202831.0
576983.06,4202831.0
576983.0,4202831.0
576983.0,4202831.5
576982.94,4202831.5
576982.9,4202831.5
576982.8,4202832.0
576982.75,4202832.0
576982.7,4202832.5
576982.6,4202832.5
576982.56,4202832.5
576982.56,4202833.0
576982.5,4202833.0
576982.44,4202833.0
576982.44,4202833.5
576982.4,4202833.5
576982.3,4202833.5
576982.25,4202834.0
576982.2,4202834.0
576982.1,4202834.5
576982.06,4202834.5
576982.0,4202834.5
576981.94,4202835.0
576981.9,4202835.0
576981.8,4202835.5
576981.75,4202835.5
576981.7,4202835.5
576981.7,4202836.0
576981.6,4202836.0
576981.56,4202836.0
576981.56,4202836.5
576981.5,4202836.5
576981.44,4202836.5
576981.4,4202837.0
576981.3,4202837.0
