y,count
4205862,2041
4205875,2041
4205887,2041
4205900,2041
4205912,2041
4205925,2041
4205937,2041
4205950,2041
4205962,2041
4205975,2041
4205987,2041
4206000,2041
4206012,2041
4206025,2041
4206037,2041
4206050,2041
4206062,2041
4206075,2041
4206087,2041
4206100,2041
4206112,2041
4206125,2041
4206137,2041
4206150,2041
4206162,2041
4206175,2041
4206187,2041
4206200,2041
4206212,2041
4206225,2041
4206237,2041
4206250,2041
4206262,2041
4206275,2041
4206287,2041
4206300,2041
4206312,2041
4206325,2041
4206337,2041
4206350,2041
4206362,2041
4206375,2041
4206387,2041
4206400,2041
4206412,2041
4206425,2041
4206437,2041
4206450,2041
4206462,2041
4206475,2041
4206487,2041
4206500,2041
4206512,2041
4206525,2041
4206537,2041
4206550,2041
4206562,2041
4206575,2041
4206587,2041
4206600,2041
4206612,2041
4206625,2041
4206637,2041
4206650,2041
4206662,2041
4206675,2041
4206687,2041
4206700,2041
4206712,2041
4206725,2041
4206737,2041
4206750,2041
4206762,2041
4206775,2041
4206787,2041
4206800,2041
4206812,2041
4206825,2041
4206837,2041
4206850,2041
4206862,2041
4206875,2041
4206887,2041
4206900,2041
4206912,2041
4206925,2041
4206937,2041
4206950,2041
4206962,2041
4206975,2041
4206987,2041
4207000,2041
4207012,2041
4207025,2041
4207037,2041
4207050,2041
4207062,2041
4207075,2041
4207087,2041
4207100,2041
4207112,2041
4207125,2041
4207137,2041
4207150,2041
4207162,2041
4207175,2041
4207187,2041
4207200,2041
4207212,2041
4207225,2041
4207237,2041
4207250,2041
4207262,2041
4207275,2041
4207287,2041
4207300,2041
4207312,2041
4207325,2041
4207337,2041
4207350,2041
4207362,2041
4207375,2041
4207387,2041
4207400,2041
4207412,2041
4207425,2041
4207437,2041
4207450,2041
4207462,2041
4207475,2041
4207487,2041
4207500,2041
4207512,2041
4207525,2041
4207537,2041
4207550,2041
4207562,2041
4207575,2041
4207587,2041
4207600,2041
4207612,2041
4207625,2041
4207637,2041
4207650,2041
4207662,2041
4207675,2041
4207687,2041
4207700,2041
4207712,2041
4207725,2041
4207737,2041
4207750,2041
4207762,2041
4207775,2041
4207787,2041
4207800,2041
4207812,2041
4207825,2041
4207837,2041
4207850,2041
4207862,2041
4207875,2041
4207887,2041
4207900,2041
4207912,2041
4207925,2041
4207937,2041
4207950,2041
4207962,2041
4207975,2041
4207987,2041
4208000,2041
4208012,2041
4208025,2041
4208037,2041
4208050,2041
4208062,2041
4208075,2041
4208087,2041
4208100,2041
4208112,2041
4208125,2041
4208137,2041
4208150,2041
4208162,2041
4208175,2041
4208187,2041
4208200,2041
4208212,2041
4208225,2041
4208237,2041
4208250,2041
4208262,2041
4208275,2041
4208287,2041
4208300,2041
4208312,2041
4208325,2041
4208337,2041
4208350,2041
4208362,2041
4208375,2041
4208387,2041
4208400,2041
4208412,2041
4208425,2041
4208437,2041
4208450,2041
4208462,2041
4208475,2041
4208487,2041
4208500,2041
4208512,2041
4208525,2041
4208537,2041
4208550,2041
4208562,2041
4208575,2041
4208587,2041
4208600,2041
4208612,2041
4208625,2041
4208637,2041
4208650,2041
4208662,2041
4208675,2041
4208687,2041
4208700,2041
4208712,2041
4208725,2041
4208737,2041
4208750,2041
4208762,2041
4208775,2041
4208787,2041
4208800,2041
4208812,2041
4208825,2041
4208837,2041
4208850,2041
4208862,2041
4208875,2041
4208887,2041
4208900,2041
4208912,2041
4208925,2041
4208937,2041
4208950,2041
4208962,2041
4208975,2041
4208987,2041
4209000,2041
4209012,2041
4209025,2041
4209037,2041
4209050,2041
4209062,2041
4209075,2041
4209087,2041
4209100,2041
4209112,2041
4209125,2041
4209137,2041
4209150,2041
4209162,2041
4209175,2041
4209187,2041
4209200,2041
4209212,2041
4209225,2041
4209237,2041
4209250,2041
4209262,2041
4209275,2041
4209287,2041
4209300,2041
4209312,2041
4209325,2041
4209337,2041
4209350,2041
4209362,2041
4209375,2041
4209387,2041
4209400,2041
4209412,2041
4209425,2041
4209437,2041
4209450,2041
4209462,2041
4209475,2041
4209487,2041
4209500,2041
4209512,2041
4209525,2041
4209537,2041
4209550,2041
4209562,2041
4209575,2041
4209587,2041
4209600,2041
4209612,2041
4209625,2041
4209637,2041
4209650,2041
4209662,2041
4209675,2041
4209687,2041
4209700,2041
4209712,2041
4209725,2041
4209737,2041
4209750,2041
4209762,2041
4209775,2041
4209787,2041
4209800,2041
4209812,2041
4209825,2041
4209837,2041
4209850,2041
4209862,2041
4209875,2041
4209887,2041
4209900,2041
4209912,2041
4209925,2041
4209937,2041
4209950,2041
4209962,2041
4209975,2041
4209987,2041
4210000,2041
4210012,2041
4210025,2041
4210037,2041
4210050,2041
4210062,2041
4210075,2041
4210087,2041
4210100,2041
4210112,2041
4210125,2041
4210137,2041
4210150,2041
4210162,2041
4210175,2041
4210187,2041
4210200,2041
4210212,2041
4210225,2041
4210237,2041
4210250,2041
4210262,2041
4210275,2041
4210287,2041
4210300,2041
4210312,2041
4210325,2041
4210337,2041
4210350,2041
4210362,2041
4210375,2041
4210387,2041
4210400,2041
4210412,2041
4210425,2041
4210437,2041
4210450,2041
4210462,2041
4210475,2041
4210487,2041
4210500,2041
4210512,2041
4210525,2041
4210537,2041
4210550,2041
4210562,2041
4210575,2041
4210587,2041
4210600,2041
4210612,2041
4210625,2041
4210637,2041
4210650,2041
4210662,2041
4210675,2041
4210687,2041
4210700,2041
4210712,2041
4210725,2041
4210737,2041
4210750,2041
4210762,2041
4210775,2041
4210787,2041
4210800,2041
4210812,2041
4210825,2041
4210837,2041
4210850,2041
4210862,2041
4210875,2041
4210887,2041
4210900,2041
4210912,2041
4210925,2041
4210937,2041
4210950,2041
4210962,2041
4210975,2041
4210987,2041
4211000,2041
4211012,2041
4211025,2041
4211037,2041
4211050,2041
4211062,2041
4211075,2041
4211087,2041
4211100,2041
4211112,2041
4211125,2041
4211137,2041
4211150,2041
4211162,2041
4211175,2041
4211187,2041
4211200,2041
4211212,2041
4211225,2041
4211237,2041
4211250,2041
4211262,2041
4211275,2041
4211287,2041
4211300,2041
4211312,2041
4211325,2041
4211337,2041
4211350,2041
4211362,2041
4211375,2041
4211387,2041
4211400,2041
4211412,2041
4211425,2041
4211437,2041
4211450,2041
4211462,2041
4211475,2041
4211487,2041
4211500,2041
4211512,2041
4211525,2041
4211537,2041
4211550,2041
4211562,2041
4211575,2041
4211587,2041
4211600,2041
4211612,2041
4211625,2041
4211637,2041
4211650,2041
4211662,2041
4211675,2041
4211687,2041
4211700,2041
4211712,2041
4211725,2041
4211737,2041
4211750,2041
4211762,2041
4211775,2041
4211787,2041
4211800,2041
4211812,2041
4211825,2041
4211837,2041
4211850,2041
4211862,2041
4211875,2041
4211887,2041
4211900,2041
4211912,2041
4211925,2041
4211937,2041
4211950,2041
4211962,2041
4211975,2041
4211987,2041
4212000,2041
4212012,2041
4212025,2041
4212037,2041
4212050,2041
4212062,2041
4212075,2041
4212087,2041
4212100,2041
4212112,2041
4212125,2041
4212137,2041
4212150,2041
4212162,2041
4212175,2041
4212187,2041
4212200,2041
4212213,2041
4212225,2041
4212238,2041
4212250,2041
4212263,2041
4212275,2041
