fault_name,cell_i,cell_j,area_3d,cx,cy,cz,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,strike_deg,dip_deg
fp_base_main,19,40,97801.85664668727,561994.5,4206133.5,2092.620849609375,561850.0,562150.0,4205975.0,4206275.0,2018.6075439453125,2164.00439453125,9.596832,67.26972
fp_base_main,19,41,98378.73568948437,562008.25,4206419.0,1976.964111328125,561850.0,562150.0,4206275.0,4206575.0,1884.92431640625,2050.224365234375,18.712967,66.46707
fp_base_main,19,42,100904.03075699713,562000.625,4206740.0,1837.6614990234375,561850.0,562150.0,4206575.0,4206875.0,1740.18212890625,1937.647216796875,22.870667,63.34666
fp_base_main,19,43,103312.16398309944,562011.9375,4207055.0,1677.705810546875,561850.0,562150.0,4206875.0,4207175.0,1581.7352294921875,1802.0921630859375,25.229614,60.396072
fp_base_main,19,44,102869.11737637127,562016.8125,4207328.5,1540.8795166015625,561850.0,562150.0,4207175.0,4207475.0,1443.39453125,1653.8492431640625,22.516068,61.82835
fp_base_main,19,45,100901.43293710244,562029.1875,4207642.0,1402.6058349609375,561850.0,562150.0,4207475.0,4207775.0,1341.0401611328125,1495.2086181640625,21.980331,68.83202
fp_base_main,19,46,97463.04207433942,561965.75,4207872.0,1326.9805908203125,561850.0,562150.0,4207775.0,4208075.0,1249.6341552734375,1377.490478515625,7.70372,69.68421
fp_base_main,19,47,90860.71653209177,562038.1875,4208230.5,1241.4468994140625,561850.0,562150.0,4208075.0,4208375.0,1218.7275390625,1269.3948974609375,153.68814,82.33294
fp_base_main,19,48,90125.26776905675,562043.1875,4208547.0,1222.5072021484375,561850.0,562150.0,4208375.0,4208675.0,1210.2606201171875,1232.1087646484375,122.326355,86.97867
fp_base_main,19,49,90125.2557882079,562006.875,4208847.0,1212.41796875,561850.0,562150.0,4208675.0,4208975.0,1201.7938232421875,1223.6396484375,122.33496,86.97895
fp_base_main,19,50,90596.60269152078,562017.6875,4209172.0,1201.2958984375,561850.0,562150.0,4208975.0,4209275.0,1188.7955322265625,1215.1705322265625,135.60864,86.94786
fp_base_main,19,51,90399.5210821644,562020.875,4209438.0,1214.364501953125,561850.0,562150.0,4209275.0,4209575.0,1195.48095703125,1229.7213134765625,13.919998,84.59469
fp_base_main,19,52,90743.57720026727,562015.0625,4209742.5,1235.3565673828125,561850.0,562150.0,4209575.0,4209875.0,1222.0706787109375,1247.103515625,19.166763,86.42649
fp_base_main,19,53,54645.27126371287,562011.8125,4209950.0,1264.5076904296875,561850.0,562150.0,4209875.0,4210055.5,1242.138427734375,1318.4202880859375,176.95721,67.629364
fp_base_main,20,32,42647.51959292117,562313.9375,4203829.0,2823.125,562150.0,562450.0,4203695.5,4203875.0,2792.76708984375,2865.10595703125,53.785675,76.9238
fp_base_main,20,33,92925.26606112893,562264.0,4203973.0,2799.255126953125,562150.0,562450.0,4203875.0,4204175.0,2753.8720703125,2848.651611328125,137.87646,76.81235
fp_base_main,20,34,95326.1909887198,562337.25,4204285.5,2737.836669921875,562150.0,562450.0,4204175.0,4204475.0,2666.910400390625,2783.791015625,172.09668,71.56791
fp_base_main,20,35,95774.59291388268,562331.875,4204620.0,2629.793212890625,562150.0,562450.0,4204475.0,4204775.0,2553.52978515625,2689.23583984375,21.676086,69.6207
fp_base_main,20,36,97615.70308684174,562335.3125,4204924.0,2520.964599609375,562150.0,562450.0,4204775.0,4205075.0,2437.63232421875,2610.00830078125,32.14203,66.91833
fp_base_main,20,37,98926.05271765127,562325.3125,4205232.0,2407.5,562150.0,562450.0,4205075.0,4205375.0,2323.32568359375,2511.7734375,31.947021,65.426125
fp_base_main,20,38,99719.339581076,562318.875,4205520.0,2294.171630859375,562150.0,562450.0,4205375.0,4205675.0,2198.95166015625,2393.40380859375,30.672272,64.52923
fp_base_main,20,39,102031.94872818177,562316.1875,4205811.0,2171.366943359375,562150.0,562450.0,4205675.0,4205975.0,2069.341064453125,2275.08837890625,33.31143,62.46485
fp_base_main,20,40,101907.57460000095,562338.5625,4206139.5,2022.1343994140625,562150.0,562450.0,4205975.0,4206275.0,1936.364501953125,2149.72607421875,32.99115,62.697998
fp_base_main,20,41,102419.2050323549,562312.125,4206418.5,1904.45751953125,562150.0,562450.0,4206275.0,4206575.0,1796.2940673828125,2018.6075439453125,32.287018,61.352333
fp_base_main,20,42,103070.5098461196,562328.0625,4206719.5,1761.432861328125,562150.0,562450.0,4206575.0,4206875.0,1659.1815185546875,1884.92431640625,33.247986,60.68861
fp_base_main,20,43,102950.32709885205,562327.0625,4207022.5,1615.1343994140625,562150.0,562450.0,4206875.0,4207175.0,1513.734130859375,1740.18212890625,26.014404,61.62725
fp_base_main,20,44,102788.71392323465,562360.0,4207377.0,1433.5841064453125,562150.0,562450.0,4207175.0,4207475.0,1367.8524169921875,1581.7352294921875,25.962616,61.264145
fp_base_main,20,45,105708.08888506803,562333.1875,4207591.0,1369.37451171875,562150.0,562450.0,4207475.0,4207775.0,1328.8271484375,1443.39453125,31.048721,77.98142
fp_base_main,20,46,91856.30944532547,562288.25,4207885.5,1313.8323974609375,562150.0,562450.0,4207775.0,4208075.0,1269.4085693359375,1341.2557373046875,167.23926,78.7411
fp_base_main,20,47,91032.81787750784,562319.9375,4208236.5,1257.8233642578125,562150.0,562450.0,4208075.0,4208375.0,1232.1087646484375,1289.196044921875,155.79553,81.487724
fp_base_main,20,48,90129.44442122409,562339.875,4208505.5,1237.0865478515625,562150.0,562450.0,4208375.0,4208675.0,1223.6396484375,1246.8551025390625,122.58096,86.8899
fp_base_main,20,49,90125.28328401373,562312.8125,4208847.0,1226.0592041015625,562150.0,562450.0,4208675.0,4208975.0,1215.1705322265625,1237.01953125,122.33975,86.978615
fp_base_main,20,50,90431.62050608607,562298.0625,4209195.5,1213.2252197265625,562150.0,562450.0,4208975.0,4209275.0,1199.9727783203125,1228.548095703125,125.573975,86.01376
fp_base_main,20,51,90584.77902710464,562352.8125,4209378.5,1219.521728515625,562150.0,562450.0,4209275.0,4209575.0,1201.9215087890625,1237.374755859375,25.513275,84.971985
fp_base_main,20,52,90718.51100917262,562327.4375,4209760.5,1243.6339111328125,562150.0,562450.0,4209575.0,4209875.0,1229.72119140625,1253.9659423828125,23.787827,86.856064
fp_base_main,20,53,65583.70938903245,562319.875,4209975.5,1272.696044921875,562150.0,562450.0,4209875.0,4210092.0,1247.1033935546875,1327.1904296875,178.20801,72.25763
fp_base_main,21,31,2594.4294568267146,562735.0625,4203571.0,2857.326904296875,562686.8125,562750.0,4203543.0,4203575.0,2841.51904296875,2899.132568359375,23.683441,24.7133
fp_base_main,21,32,90770.87195452448,562637.75,4203699.5,2843.91259765625,562450.0,562750.0,4203575.0,4203875.0,2800.72802734375,2891.968994140625,23.472382,81.68987
fp_base_main,21,33,93839.03115183214,562618.125,4204044.5,2782.373291015625,562450.0,562750.0,4203875.0,4204175.0,2726.05224609375,2843.137451171875,32.024216,74.5955
fp_base_main,21,34,96639.34141826718,562608.9375,4204308.5,2707.158935546875,562450.0,562750.0,4204175.0,4204475.0,2624.607421875,2775.59814453125,22.433075,68.69934
